epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.05200190842151642,2.1881929512801435e-07,85383.0,347155072.0,1.0946116191234978e-07,47287976.0,38.0,0.07624246180057526,0.5065392851829529,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05274374410510063,0.0,29499.0,117484488.0,0.0,13995148.0,0.0,0.06678379327058792,0.695522665977478,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
1,0.05190711095929146,0.0,85421.0,352827040.0,0.0,41615476.0,0.0,0.05886031314730644,0.5508149266242981,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,117484488.0,0.0,13995148.0,0.0,0.05815665051341057,0.5282193422317505,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
2,0.05231709033250809,0.0,85421.0,352826944.0,0.0,41615440.0,0.0,0.0593268945813179,0.5441871881484985,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,117484488.0,0.0,13995148.0,0.0,0.05818882957100868,0.5,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
3,0.052459172904491425,0.0,85421.0,119455688.0,0.0,274986944.0,0.0,0.05931033566594124,0.5438880920410156,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297378450632095,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.058519262820482254,0.5,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
4,0.052307505160570145,0.0,85421.0,0.0,0.0,394442624.0,0.0,0.059192366898059845,0.5155196189880371,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.052973777055740356,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.060380108654499054,0.6622705459594727,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
5,0.052480798214673996,0.0,85421.0,0.0,0.0,394442624.0,0.0,0.05919475480914116,0.5358311533927917,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05805598199367523,0.5,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
6,0.052479829639196396,0.0,85421.0,0.0,0.0,394442656.0,0.0,0.0589238665997982,0.5931347608566284,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.058099232614040375,0.5482309460639954,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
7,0.05247890576720238,0.0,85421.0,0.0,0.0,394442688.0,0.0,0.05871766805648804,0.5921292901039124,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297374352812767,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.06858868896961212,0.5,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
8,0.05247049778699875,0.0,85421.0,0.0,0.0,394442528.0,0.0,0.05937853083014488,0.555548906326294,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297050252556801,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.058517344295978546,0.6917481422424316,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
9,0.05250390246510506,0.0,85421.0,0.0,0.0,394442592.0,0.0,0.05885515362024307,0.5996713042259216,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05758482217788696,0.7039006948471069,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
