epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.05255120247602463,5.234459194980445e-07,86097.0,290264224.0,2.6183033696725033e-07,104177448.0,76.0,0.08169779181480408,0.544388473033905,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.05254664272069931,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05840548127889633,0.5790590047836304,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
1,0.053248122334480286,0.0,86173.0,0.0,0.0,394441856.0,0.0,0.060117725282907486,0.5246953368186951,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.057484760880470276,0.5,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
2,0.05351691320538521,0.0,86173.0,0.0,0.0,394441888.0,0.0,0.05939353629946709,0.5730946063995361,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.056628625839948654,0.5,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
3,0.052496813237667084,0.0,86173.0,0.0,0.0,394441824.0,0.0,0.05976564437150955,0.4930170774459839,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05669661611318588,0.5,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
4,0.05262706056237221,0.0,86173.0,0.0,0.0,394441952.0,0.0,0.0591968335211277,0.5426610112190247,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.05254668742418289,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.056705303490161896,0.5254442691802979,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
5,0.05262616276741028,0.0,86173.0,0.0,0.0,394441856.0,0.0,0.06008782982826233,0.5370925664901733,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.057111769914627075,0.5576062202453613,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
6,0.05263111740350723,0.0,86173.0,0.0,0.0,394441888.0,0.0,0.05890750512480736,0.5536165833473206,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05640554055571556,0.6924571394920349,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
7,0.05243108794093132,0.0,86173.0,0.0,0.0,394441888.0,0.0,0.06045953184366226,0.5453671216964722,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.0525466613471508,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.0712994709610939,0.5,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
8,0.052556704729795456,0.0,86173.0,0.0,0.0,394441856.0,0.0,0.059397343546152115,0.5706083178520203,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052281878888607025,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.0583261139690876,0.7093631029129028,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
9,0.052363570779561996,0.0,86173.0,0.0,0.0,394441792.0,0.0,0.059596359729766846,0.5958127975463867,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05784643068909645,0.699496865272522,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
10,0.05263124778866768,0.0,86173.0,0.0,0.0,394441888.0,0.0,0.05871160700917244,0.5849514007568359,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05615408718585968,0.6981155276298523,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
11,0.052631180733442307,0.0,86173.0,0.0,0.0,394441824.0,0.0,0.05886561796069145,0.609724760055542,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05585356056690216,0.725400447845459,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
12,0.05263200402259827,0.0,86173.0,0.0,0.0,394441920.0,0.0,0.0604596845805645,0.5675317645072937,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.056909285485744476,0.5995901823043823,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
13,0.05263113975524902,0.0,86173.0,0.0,0.0,394441888.0,0.0,0.06010090559720993,0.570018470287323,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05621721222996712,0.5839737057685852,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
14,0.05263639986515045,0.0,86173.0,0.0,0.0,394441824.0,0.0,0.05929926037788391,0.526314914226532,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05665167421102524,0.6943094730377197,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
15,0.05263128876686096,0.0,86173.0,0.0,0.0,394441856.0,0.0,0.05843080207705498,0.616036593914032,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05722977593541145,0.7224199175834656,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
16,0.05267344415187836,0.0,86173.0,0.0,0.0,394441856.0,0.0,0.059148870408535004,0.5870691537857056,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05664333328604698,0.6894137859344482,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
17,0.05263128504157066,0.0,86173.0,0.0,0.0,394441920.0,0.0,0.05874571204185486,0.6134783625602722,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05770571902394295,0.6463096737861633,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
18,0.052630916237831116,0.0,86173.0,0.0,0.0,394441856.0,0.0,0.05877268314361572,0.6288955211639404,0.017767466604709625,2367.0,0.0,0.0,261708.0,0.0,0.052546679973602295,0.0,28747.0,0.0,0.0,131480600.0,0.0,0.05544363707304001,0.7268356680870056,0.017097674310207367,759.0,0.0,0.0,87266.0,0.0
